Sim Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1,21,2,33,41,13,5,20,8,10,20,41,19,28,43,36,38,6,30,30,13,32,2,38,34,29,12,43,39,25,27,17,7,21,25,15,11,17,21,11,28,3,9,23,34,8,29,36,26,26,42,8,28,43,36,25,28,27,3,11,28,29,5,24,20,22,40,12,2,27,12,21,30,44,3,37,22,34,32,26,35,1,24,8,25,14,6,4,18,16,18
2,19,19,21,44,1,29,31,7,39,7,40,17,15,40,29,4,43,12,11,24,32,10,16,10,32,28,9,34,26,21,16,32,33,3,6,36,37,40,24,35,20,13,20,13,18,31,12,29,13,31,22,37,11,31,35,36,29,39,23,26,36,21,26,40,26,3,31,31,27,20,6,26,6,12,18,41,32,39,6,41,29,32,21,3,33,28,31,12,28,29
3,31,25,19,27,38,1,33,42,25,14,43,23,17,27,16,3,11,2,40,13,6,33,17,6,38,43,21,34,11,42,36,6,2,40,32,2,25,30,44,14,35,20,20,23,12,34,37,28,19,12,41,3,43,9,31,15,6,39,25,38,39,30,15,15,33,36,31,14,34,26,36,29,29,12,40,34,43,17,5,12,26,39,35,36,24,15,27,3,11,36
4,38,44,7,36,2,2,31,17,23,26,18,33,21,38,23,43,43,29,40,15,33,38,19,26,34,18,42,10,40,31,11,11,13,11,1,15,12,43,14,37,37,27,24,17,4,19,3,31,1,26,14,24,1,40,16,42,1,17,1,17,12,20,8,9,5,2,42,5,36,18,43,35,18,12,38,44,38,40,36,30,43,13,6,38,2,42,42,21,38,16
5,43,41,36,8,29,8,35,13,3,21,12,21,35,12,43,4,4,26,13,38,15,22,32,25,32,39,38,31,26,20,33,37,18,28,21,27,20,5,25,3,44,22,19,13,35,34,12,16,43,7,25,33,25,29,26,31,6,40,34,27,37,10,38,11,31,5,39,8,20,1,27,17,14,28,42,26,42,4,30,21,39,28,11,34,44,16,18,17,5,11
6,41,17,39,35,3,20,14,20,43,1,19,2,20,1,21,13,10,16,13,43,18,26,12,18,35,40,43,14,11,33,3,3,6,7,2,14,11,6,20,9,15,27,16,41,10,40,17,30,24,9,19,34,9,15,36,32,7,11,7,27,9,5,18,13,29,21,16,27,29,2,19,16,8,23,18,4,9,6,43,38,25,12,43,33,37,17,17,10,9,40
7,19,19,36,20,14,1,43,30,17,18,23,21,27,41,37,10,42,1,2,25,16,11,14,28,39,10,15,7,30,20,16,41,31,26,31,31,16,41,33,1,36,7,3,35,3,12,19,44,25,17,24,11,36,6,25,32,41,24,14,38,17,37,35,20,17,32,15,2,6,5,23,21,3,18,42,6,44,21,16,25,38,35,11,7,16,41,43,43,12,7
8,23,42,9,17,30,37,24,16,34,26,31,32,6,21,24,27,22,18,41,36,43,21,24,22,21,29,3,36,28,9,22,17,22,1,5,4,40,23,4,5,1,5,34,4,26,19,28,28,29,40,41,34,9,19,28,33,42,42,17,24,14,22,41,5,9,43,35,39,34,12,13,10,13,14,44,28,11,17,5,16,38,13,11,16,29,24,44,22,30,38
9,22,43,35,16,7,32,41,26,13,30,44,10,19,11,11,9,41,20,14,22,23,17,18,12,27,43,36,27,34,22,27,16,38,18,16,34,14,24,26,32,25,22,25,8,5,39,7,32,16,39,38,7,21,34,14,3,2,22,44,6,38,20,15,34,43,4,19,29,4,19,42,8,36,19,34,38,34,20,29,38,19,43,44,5,13,20,37,36,35,9
10,17,4,25,1,40,17,39,10,23,6,6,4,12,6,14,43,20,30,30,23,26,26,6,10,12,43,20,17,23,4,43,3,21,28,2,35,31,40,30,41,16,37,28,20,25,20,38,3,29,44,27,1,19,38,10,4,14,13,32,5,22,17,43,14,14,43,27,27,5,31,35,20,24,22,35,27,35,35,3,18,24,6,11,28,32,35,32,34,44,27
11,26,26,19,6,12,30,37,36,5,5,24,15,19,28,31,35,26,33,33,29,17,22,25,10,38,13,26,21,35,34,41,7,33,23,20,28,33,30,16,19,6,24,22,9,14,18,29,33,15,30,36,42,33,38,27,22,7,18,7,4,39,39,40,21,29,7,35,25,13,23,37,40,27,37,12,23,34,8,26,17,10,11,22,22,35,9,35,17,16,44
12,11,42,9,35,11,7,10,25,35,11,27,30,31,20,43,35,2,1,39,41,37,43,33,2,19,36,36,30,33,43,28,17,30,35,39,44,40,38,13,3,38,20,44,41,23,2,5,4,34,7,44,2,4,30,3,41,42,16,1,9,17,23,39,32,16,18,27,19,43,33,23,30,32,36,44,34,28,18,37,27,41,16,39,41,7,23,6,39,42,5
13,31,25,24,14,23,13,22,1,17,14,38,9,43,28,31,32,36,21,20,31,27,28,22,9,37,23,35,32,23,31,8,1,2,41,33,32,28,35,40,31,7,26,37,27,41,17,17,44,1,21,20,44,14,37,9,43,28,32,19,18,27,14,9,27,23,43,5,4,29,32,33,21,10,9,43,11,6,1,33,42,18,38,12,2,6,4,5,38,9,39
14,23,2,29,39,14,42,22,39,10,24,39,29,30,35,36,30,35,33,32,14,27,39,20,11,43,43,43,44,15,34,44,20,26,28,18,1,6,5,10,8,25,9,14,24,29,41,39,9,5,28,6,28,25,33,32,37,15,28,4,40,4,27,11,26,5,43,29,6,40,28,1,5,14,37,4,21,33,17,1,29,27,12,38,5,20,26,36,43,13,44
15,18,10,37,19,7,12,4,3,28,10,39,9,23,9,12,7,1,34,23,4,7,44,36,13,17,5,10,17,39,32,31,11,33,3,34,15,38,37,11,16,26,9,39,35,23,5,9,14,21,22,31,20,38,33,22,42,44,1,18,10,14,38,24,18,4,23,8,40,4,24,2,20,22,12,8,34,28,23,4,11,2,5,5,26,14,16,25,4,3,36
16,3,9,1,10,44,8,18,4,34,37,41,41,25,7,41,35,4,1,16,21,11,44,10,8,29,27,27,10,35,30,44,43,44,37,21,9,16,22,24,10,43,12,25,14,26,41,9,17,26,36,37,20,44,11,39,11,32,11,39,36,22,8,26,41,35,4,38,13,31,21,21,7,10,32,38,13,5,28,3,34,25,27,44,35,17,7,39,37,6,30
17,3,18,28,44,42,3,5,44,41,39,20,20,14,19,32,8,35,22,7,33,1,39,35,7,44,38,40,22,17,20,27,39,23,1,8,6,16,28,39,22,28,28,24,35,31,7,41,15,43,4,3,29,27,40,8,38,19,32,10,34,22,25,35,19,8,20,2,31,19,25,34,36,36,18,12,32,44,32,18,24,15,30,5,14,4,18,32,12,15,30
18,44,32,14,24,11,15,26,5,29,37,20,4,31,24,17,31,36,27,40,8,32,34,8,40,9,5,5,17,17,13,4,36,6,11,19,19,25,28,26,32,26,28,36,37,1,7,11,17,8,7,16,31,37,24,16,6,39,30,25,25,17,39,23,36,34,41,16,42,17,44,34,10,26,23,25,22,42,11,37,15,4,39,5,32,18,29,7,30,10,16
19,22,8,26,3,5,33,44,4,30,10,44,19,44,16,6,7,1,27,40,37,38,43,7,29,11,11,38,41,17,31,2,35,43,38,29,13,2,3,6,34,37,24,34,26,39,25,4,35,26,19,35,26,20,36,40,33,28,3,37,18,28,28,25,27,35,42,39,38,10,41,28,4,44,16,3,38,20,14,27,10,39,2,30,9,40,21,28,15,26,24
20,14,22,10,10,38,32,40,23,17,40,16,31,24,11,22,36,13,11,34,18,10,11,4,5,29,16,8,40,42,17,13,22,27,12,34,25,8,16,42,25,13,18,41,8,44,8,12,7,30,9,8,36,16,43,21,40,19,38,41,23,9,20,7,23,15,10,9,41,21,11,3,10,36,44,40,36,40,18,11,21,21,41,11,31,22,12,33,3,17,11
21,37,12,16,16,1,29,8,14,18,26,17,41,15,13,42,41,5,17,3,35,4,24,8,24,34,23,32,8,25,24,21,9,25,41,20,32,11,28,15,30,24,35,43,28,40,8,41,12,26,2,39,8,12,10,3,38,32,20,9,18,30,35,6,28,9,2,41,31,36,22,24,12,41,41,20,15,8,17,7,29,33,18,14,43,36,27,37,12,40,10
22,41,27,27,18,1,22,11,29,27,26,21,11,8,37,4,39,6,4,28,37,27,16,44,3,19,31,20,17,33,41,29,13,8,27,23,3,38,14,26,5,39,36,23,27,31,25,2,1,26,26,27,12,15,41,8,17,4,16,28,1,1,24,23,12,30,11,20,15,17,15,31,32,2,41,4,3,22,18,18,5,17,34,35,14,30,9,16,17,41,40
23,34,44,36,37,44,34,9,21,24,2,14,41,21,32,21,27,14,41,8,30,8,14,9,26,34,26,8,19,5,3,5,23,35,7,41,4,35,32,28,9,44,19,40,3,37,43,9,7,19,18,6,22,24,25,1,10,10,2,25,9,10,27,11,3,6,8,17,42,14,27,37,37,24,34,18,25,2,44,5,1,4,9,43,20,39,34,31,40,32,15
