OP,Sim,Value
1,1,0.902048365
2,1,0.510818741
3,1,0.441695014
4,1,0.154005499
5,1,0.472571532
6,1,0.871563098
7,1,0.220452804
8,1,0.231718033
9,1,0.594711569
10,1,0.294136842
1,2,0.40274907
2,2,0.419505411
3,2,0.702839296
4,2,0.229399191
5,2,0.699228648
6,2,0.520788458
7,2,0.470145792
8,2,0.814941969
9,2,0.981448672
10,2,0.276339895
1,3,0.244576171
2,3,0.006926866
3,3,0.192137436
4,3,0.189024727
5,3,0.741283847
6,3,0.239994013
7,3,0.630763311
8,3,0.251569666
9,3,0.095995277
10,3,0.772156795
1,4,0.142371025
2,4,0.99243396
3,4,0.208998252
4,4,0.36057669
5,4,0.146042327
6,4,0.52447772
7,4,0.533077595
8,4,0.371669423
9,4,0.685947148
10,4,0.443427081
1,5,0.305307637
2,5,0.066184371
3,5,0.045136064
4,5,0.51616775
5,5,0.286395398
6,5,0.598288306
7,5,0.164259612
8,5,0.484904755
9,5,0.927707392
10,5,0.598150146
1,6,0.913017791
2,6,0.537354283
3,6,0.287939859
4,6,0.536054154
5,6,0.841599719
6,6,0.75090692
7,6,0.589114043
8,6,0.071917164
9,6,0.039072505
10,6,0.618691885
1,7,0.806740149
2,7,0.958611195
3,7,0.136375621
4,7,0.921873255
5,7,0.203849181
6,7,0.964610932
7,7,0.061084988
8,7,0.914668954
9,7,0.745350602
10,7,0.620717901
1,8,0.875334073
2,8,0.700276958
3,8,0.950135505
4,8,0.703660733
5,8,0.460429555
6,8,0.582070583
7,8,0.917263065
8,8,0.418938431
9,8,0.155873869
10,8,0.79084521
1,9,0.184772615
2,9,0.983900256
3,9,0.283379162
4,9,0.000328405
5,9,0.971877717
6,9,0.77870435
7,9,0.269064136
8,9,0.246635112
9,9,0.411606457
10,9,0.808477344
1,10,0.408986614
2,10,0.476795178
3,10,0.147855292
4,10,0.338096999
5,10,0.343250331
6,10,0.91851684
7,10,0.603717947
8,10,0.738386654
9,10,0.874110137
10,10,0.623681581
1,11,0.026738988
2,11,0.203891173
3,11,0.983362945
4,11,0.058560306
5,11,0.775738206
6,11,0.400148886
7,11,0.875844573
8,11,0.015290151
9,11,0.955328732
10,11,0.417149615
1,12,0.881038255
2,12,0.988710176
3,12,0.279961398
4,12,0.721989986
5,12,0.976219787
6,12,0.714920222
7,12,0.10053879
8,12,0.592739734
9,12,0.352271614
10,12,0.31346192
1,13,0.138357353
2,13,0.736051764
3,13,0.993905282
4,13,0.282864968
5,13,0.564916672
6,13,0.304130254
7,13,0.043739315
8,13,0.471222326
9,13,0.093919737
10,13,0.971803005
1,14,0.455350774
2,14,0.472284242
3,14,0.093033793
4,14,0.130336894
5,14,0.553916579
6,14,0.1341622
7,14,0.473738151
8,14,0.019102212
9,14,0.178505047
10,14,0.062428483
1,15,0.813975087
2,15,0.230101755
3,15,0.559151659
4,15,0.254848981
5,15,0.157634022
6,15,0.369457563
7,15,0.647799446
8,15,0.851402713
9,15,0.329399704
10,15,0.540867989
1,16,0.957352385
2,16,0.74453307
3,16,0.314621016
4,16,0.556649039
5,16,0.498527967
6,16,0.515904429
7,16,0.349908689
8,16,0.299039529
9,16,0.626015762
10,16,0.805999716
1,17,0.04856538
2,17,0.422455273
3,17,0.842238799
4,17,0.250354516
