Row,OP,DP,ClaimsAmount
1,0,0,2202584
2,0,1,3210449
3,0,2,3468122
4,0,3,3545070
5,0,4,3621327
6,0,5,3644636
7,0,6,3669012
8,0,7,3674511
9,0,8,3678633
10,1,0,2350650
11,1,1,3553023
12,1,2,3783846
13,1,3,3840067
14,1,4,3865187
15,1,5,3878744
16,1,6,3898281
17,1,7,3902425
18,2,0,2321885
19,2,1,3424190
20,2,2,3700876
21,2,3,3798198
22,2,4,3854755
23,2,5,3878993
24,2,6,3898825
25,3,0,2171487
26,3,1,3165274
27,3,2,3395841
28,3,3,3466453
29,3,4,3515703
30,3,5,3548422
31,4,0,2140328
32,4,1,3157079
33,4,2,3399262
34,4,3,3500520
35,4,4,3585812
36,5,0,2290664
37,5,1,3338197
38,5,2,3550332
39,5,3,3641036
40,6,0,2148216
41,6,1,3219775
42,6,2,3428335
43,7,0,2143728
44,7,1,3158581
45,8,0,2144738
