Row,OP,DP,ClaimsAmount
1,0,0,5946975.45000000
2,0,1,9668212.03500000
3,0,2,10563929.32500000
4,0,3,10771689.65500000
5,0,4,10978393.64500000
6,0,5,11040517.79500000
7,0,6,11106331.21500000
8,0,7,11121180.87500000
9,0,8,11132310.40500000
10,0,9,11148123.82500000
11,1,0,6346756.12108834
12,1,1,9593161.71022243
13,1,2,10316383.45558930
14,1,3,10468180.23491880
15,1,4,10536004.32781060
16,1,5,10572607.80651420
17,1,6,10625359.87876340
18,1,7,10636546.27150550
19,1,8,10648191.80068160
20,2,0,6269090.21123233
21,2,1,9245313.27270970
22,2,2,10092365.96875280
23,2,3,10355134.28835680
24,2,4,10507837.38729650
25,2,5,10573281.57255640
26,2,6,10626826.81504180
27,2,7,10635751.02212270
28,3,0,5863014.80754022
29,3,1,8546239.11002354
30,3,2,9268770.83174578
31,3,3,9459423.55716753
32,3,4,9592399.15074061
33,3,5,9680739.58003741
34,3,6,9724068.20975726
35,4,0,5778885.35964613
36,4,1,8524114.26891064
37,4,2,9178008.62922827
38,4,3,9451404.11608521
39,4,4,9681691.67212755
40,4,5,9786916.05194878
41,5,0,6184793.39957236
42,5,1,9013131.87453573
43,5,2,9585896.65494004
44,5,3,9830796.08111641
45,5,4,9935752.97804914
46,6,0,5600184.39631737
47,6,1,8493391.29940295
48,6,2,9056505.21004279
49,6,3,9282022.21964978
50,7,0,5288065.61501947
51,7,1,7728168.79723339
52,7,2,8256211.35725728
53,8,0,5290792.94544161
54,8,1,7648728.91107403
55,9,0,5675568.13904533
