Row,OP,DP,ClaimsAmount
1,0,0,1530
2,1,0,1505
3,2,0,2505
4,3,0,204
5,4,0,2285
6,5,0,269
7,6,0,1271
8,7,0,298
9,8,0,2023
10,9,0,1779
11,0,1,8238
12,1,1,6247
13,2,1,6150
14,3,1,2748
15,4,1,4361
16,5,1,5549
17,6,1,2657
18,7,1,3533
19,8,1,5415
20,0,2,10564
21,1,2,8728
22,2,2,17937
23,3,2,9984
24,4,2,6432
25,5,2,7214
26,6,2,6187
27,7,2,6423
28,0,3,12332
29,1,3,10500
30,2,3,22143
31,3,3,13167
32,4,3,8834
33,5,3,12422
34,6,3,11004
35,0,4,12173
36,1,4,15241
37,2,4,29511
38,3,4,16523
39,4,4,12092
40,5,4,13581
41,0,5,10576
42,1,5,16720
43,2,5,33336
44,3,5,17807
45,4,5,15309
46,0,6,10630
47,1,6,16845
48,2,6,32162
49,3,6,18959
50,0,7,10316
51,1,7,16829
52,2,7,31500
53,0,8,10325
54,1,8,19675
55,0,9,10280
