Row,OP,DP,ClaimsAmount
1,0,0,184
2,1,0,155
3,2,0,676
4,3,0,67
5,4,0,922
6,5,0,22
7,6,0,76
8,7,0,24
9,8,0,39
10,9,0,306
11,0,1,1845
12,1,1,1483
13,2,1,2287
14,3,1,367
15,4,1,1693
16,5,1,488
17,6,1,435
18,7,1,1782
19,8,1,745
20,0,2,3748
21,1,2,3768
22,2,2,10635
23,3,2,2038
24,4,2,3523
25,5,2,3424
26,6,2,1980
27,7,2,3881
28,0,3,5400
29,1,3,7899
30,2,3,16102
31,3,3,2879
32,4,3,4641
33,5,3,5649
34,6,3,5062
35,0,4,6231
36,1,4,8858
37,2,4,22177
38,3,4,6329
39,4,4,6431
40,5,4,7813
41,0,5,9006
42,1,5,13795
43,2,5,28825
44,3,5,14366
45,4,5,8325
46,0,6,9699
47,1,6,15360
48,2,6,29828
49,3,6,16201
50,0,7,10008
51,1,7,15895
52,2,7,30700
53,0,8,10035
54,1,8,19333
55,0,9,10068
